Range,Freq
"(612,636]",12
"(636,659]",477
"(659,683]",174029
"(683,706]",112622
"(706,730]",83518
"(730,753]",35814
"(753,777]",13993
"(777,800]",9395
"(800,824]",3393
"(824,848]",549
